Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Brazilian_Grand_Prix,jacarepagua,Autodromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,1985-04-07
2,Portuguese_Grand_Prix,estoril,Autodromo do Estoril,Estoril,Portugal,1985-04-21
3,San_Marino_Grand_Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,1985-05-05
4,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1985-05-19
5,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,1985-06-16
6,Detroit_Grand_Prix,detroit,Detroit Street Circuit,Detroit,USA,1985-06-23
7,French_Grand_Prix,ricard,Circuit Paul Ricard,Le Castellet,France,1985-07-07
8,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,1985-07-21
9,German_Grand_Prix,nurburgring,Nurburgring,Nurburg,Germany,1985-08-04
10,Austrian_Grand_Prix,osterreichring,A1-Ring,Spielburg,Austria,1985-08-18
11,Dutch_Grand_Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1985-08-25
12,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1985-09-08
13,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1985-09-15
14,European_Grand_Prix,brands_hatch,Brands Hatch,Kent,UK,1985-10-06
15,South_African_Grand_Prix,kyalami,Kyalami,Midrand,South Africa,1985-10-19
16,Australian_Grand_Prix,adelaide,Adelaide Street Circuit,Adelaide,Australia,1985-11-03
