Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Brazilian_Grand_Prix,jacarepagua,Autodromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,1989-03-26
2,San_Marino_Grand_Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,1989-04-23
3,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1989-05-07
4,Mexican_Grand_Prix,rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,1989-05-28
5,United_States_Grand_Prix,phoenix,Phoenix street circuit,Phoenix,USA,1989-06-04
6,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,1989-06-18
7,French_Grand_Prix,ricard,Circuit Paul Ricard,Le Castellet,France,1989-07-09
8,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,1989-07-16
9,German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,1989-07-30
10,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,1989-08-13
11,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1989-08-27
12,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1989-09-10
13,Portuguese_Grand_Prix,estoril,Autodromo do Estoril,Estoril,Portugal,1989-09-24
14,Spanish_Grand_Prix,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,1989-10-01
15,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,1989-10-22
16,Australian_Grand_Prix,adelaide,Adelaide Street Circuit,Adelaide,Australia,1989-11-05
