Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Australian_Grand_Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,2001-03-04
2,Malaysian_Grand_Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2001-03-18
3,Brazilian_Grand_Prix,interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,2001-04-01
4,San_Marino_Grand_Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,2001-04-15
5,Spanish_Grand_Prix,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,2001-04-29
6,Austrian_Grand_Prix,osterreichring,A1-Ring,Spielburg,Austria,2001-05-13
7,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,2001-05-27
8,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,2001-06-10
9,European_Grand_Prix,nurburgring,Nurburgring,Nurburg,Germany,2001-06-24
10,French_Grand_Prix,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,2001-07-01
11,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,2001-07-15
12,German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,2001-07-29
13,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,2001-08-19
14,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,2001-09-02
15,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,2001-09-16
16,United_States_Grand_Prix,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,2001-09-30
17,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,2001-10-14
