Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Latitude,Longitude,Date
1,South_African_Grand_Prix,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,1982-01-23
2,Brazilian_Grand_Prix,jacarepagua,Autodromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,1982-03-21
3,United_States_Grand_Prix_West,long_beach,Long Beach,California,USA,33.7651,-118.189,1982-04-04
4,San_Marino_Grand_Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,1982-04-25
5,Belgian_Grand_Prix,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,1982-05-09
6,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,1982-05-23
7,Detroit_Grand_Prix,detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,1982-06-06
8,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,1982-06-13
9,Dutch_Grand_Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,1982-07-03
10,British_Grand_Prix,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,1982-07-18
11,French_Grand_Prix,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,1982-07-25
12,German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,1982-08-08
13,Austrian_Grand_Prix,osterreichring,A1-Ring,Spielburg,Austria,47.2197,14.7647,1982-08-15
14,Swiss_Grand_Prix,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,1982-08-29
15,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,1982-09-12
16,Caesars_Palace_Grand_Prix,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,1982-09-25
