Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Brazilian_Grand_Prix,interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,1976-01-25
2,South_African_Grand_Prix,kyalami,Kyalami,Midrand,South Africa,1976-03-06
3,United_States_Grand_Prix_West,long_beach,Long Beach,California,USA,1976-03-28
4,Spanish_Grand_Prix,jarama,Jarama,Madrid,Spain,1976-05-02
5,Belgian_Grand_Prix,zolder,Zolder,Heusden-Zolder,Belgium,1976-05-16
6,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1976-05-30
7,Swedish_Grand_Prix,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,1976-06-13
8,French_Grand_Prix,ricard,Circuit Paul Ricard,Le Castellet,France,1976-07-04
9,British_Grand_Prix,brands_hatch,Brands Hatch,Kent,UK,1976-07-18
10,German_Grand_Prix,nurburgring,Nurburgring,Nurburg,Germany,1976-08-01
11,Austrian_Grand_Prix,osterreichring,A1-Ring,Spielburg,Austria,1976-08-15
12,Dutch_Grand_Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,1976-08-29
13,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1976-09-12
14,Canadian_Grand_Prix,mosport,Mosport International Raceway,Ontario,Canada,1976-10-03
15,United_States_Grand_Prix,watkins_glen,Watkins Glen,New York State,USA,1976-10-10
16,Japanese_Grand_Prix,fuji,Fuji Speedway,Oyama,Japan,1976-10-24
