Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Australian_Grand_Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,2013-03-17
2,Malaysian_Grand_Prix,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2013-03-24
3,Chinese_Grand_Prix,shanghai,Shanghai International Circuit,Shanghai,China,2013-04-14
4,Bahrain_Grand_Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,2013-04-21
5,Spanish_Grand_Prix,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,2013-05-12
6,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,2013-05-26
7,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,2013-06-09
8,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,2013-06-30
9,German_Grand_Prix,nurburgring,Nurburgring,Nurburg,Germany,2013-07-07
10,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,2013-07-28
11,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,2013-08-25
12,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,2013-09-08
13,Singapore_Grand_Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,2013-09-22
14,Korean_Grand_Prix,yeongam,Korean International Circuit,Yeongam County,Korea,2013-10-06
15,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,2013-10-13
16,Indian_Grand_Prix,buddh,Buddh International Circuit,Uttar Pradesh,India,2013-10-27
17,Abu_Dhabi_Grand_Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,2013-11-03
18,United_States_Grand_Prix,americas,Circuit of the Americas,Austin,USA,2013-11-17
19,Brazilian_Grand_Prix,interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,2013-11-24
