Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,Brazilian_Grand_Prix,jacarepagua,Autodromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,1988-04-03
2,San_Marino_Grand_Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,1988-05-01
3,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1988-05-15
4,Mexican_Grand_Prix,rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,1988-05-29
5,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,1988-06-12
6,Detroit_Grand_Prix,detroit,Detroit Street Circuit,Detroit,USA,1988-06-19
7,French_Grand_Prix,ricard,Circuit Paul Ricard,Le Castellet,France,1988-07-03
8,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,1988-07-10
9,German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,1988-07-24
10,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,1988-08-07
11,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1988-08-28
12,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1988-09-11
13,Portuguese_Grand_Prix,estoril,Autodromo do Estoril,Estoril,Portugal,1988-09-25
14,Spanish_Grand_Prix,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,1988-10-02
15,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,1988-10-30
16,Australian_Grand_Prix,adelaide,Adelaide Street Circuit,Adelaide,Australia,1988-11-13
